timestamp_utc,run_label,data_file,mode,seed,sims,temperature,n_estimators,min_train_rows,max_pods,drop_features,pods_evaluated,skipped,mean_mae,mean_brier,mean_logloss
2026-05-08T21:54:39Z,baseline_no_FamiliarGame,C:\Users\micha\Development\Web\board-game-league\tools\machineLearning\bgl_ml_features.json,inseason,42,5000,0.5,150,80,100,FamiliarGame,99,1,0.940276,0.537862,1.446961
2026-05-08T22:01:59Z,with_FamiliarGame,C:\Users\micha\Development\Web\board-game-league\tools\machineLearning\bgl_ml_features.json,inseason,42,5000,0.5,150,80,100,,99,1,0.941333,0.539319,1.450899
