Category,Subcategory,Scope,Rank,Player,Value,Context,IsActive
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Steve",29.2%,"7/24",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",9,"Austin",27.3%,"9/33",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",10,"Allie",25.0%,"4/16",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Richie",22.9%,"8/35",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Michael",22.9%,"8/35",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",13,"Dan",22.6%,"7/31",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",14,"Emma",22.2%,"4/18",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Sam",21.1%,"4/19",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",16,"Josh",20.0%,"6/30",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Jennie",16.7%,"1/6",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Jack C",16.7%,"2/12",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Brittany",16.7%,"2/12",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",20,"Ryan",16.1%,"5/31",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",20,"Rachel F",16.1%,"5/31",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",22,"Luke",15.4%,"2/13",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",23,"Ian",15.0%,"3/20",false
"% of 2nd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",24,"Carly",11.5%,"3/26",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Jack C",50.0%,"6/12",false
