Category,Subcategory,Scope,Rank,Player,Value,Context,IsActive
"Points Leaders","Totals","All-Time (Regular Season)",11,"Cody",36,,false
"Points Leaders","Totals","All-Time (Regular Season)",12,"Ryan",31,,false
"Points Leaders","Totals","All-Time (Regular Season)",12,"Sam",31,,false
"Points Leaders","Totals","All-Time (Regular Season)",14,"Carly",30,,false
"Points Leaders","Totals","All-Time (Regular Season)",15,"Ian",29,,false
"Points Leaders","Totals","All-Time (Regular Season)",16,"Tyler",28,,false
"Points Leaders","Totals","All-Time (Regular Season)",17,"Steve",22,,false
"Points Leaders","Totals","All-Time (Regular Season)",18,"Luke",18,,false
"Points Leaders","Totals","All-Time (Regular Season)",19,"Brittany",16,,false
"Points Leaders","Totals","All-Time (Regular Season)",20,"Emma",14,,false
"Points Leaders","Totals","All-Time (Regular Season)",21,"Jack C",13,,false
"Points Leaders","Totals","All-Time (Regular Season)",22,"Allie",12,,false
"Points Leaders","Totals","All-Time (Regular Season)",23,"Jennie",7,,false
"Points Leaders","Totals","All-Time (Regular Season)",24,"Becca",6,,false
"Points Leaders","Totals","All-Time (Regular Season)",25,"Brian",3,,false
"Most 1st Places","Totals","All-Time (Regular Season)",1,"Michael",14,,false
"Most 1st Places","Totals","All-Time (Regular Season)",2,"Nick",13,,false
"Most 1st Places","Totals","All-Time (Regular Season)",3,"Richie",12,,false
"Most 1st Places","Totals","All-Time (Regular Season)",4,"Austin",11,,false
"Most 1st Places","Totals","All-Time (Regular Season)",5,"Rachel F",9,,false
"Most 1st Places","Totals","All-Time (Regular Season)",6,"Ashley",8,,false
"Most 1st Places","Totals","All-Time (Regular Season)",6,"Rachel M",8,,false
"Most 1st Places","Totals","All-Time (Regular Season)",8,"Josh",7,,false
"Most 1st Places","Totals","All-Time (Regular Season)",8,"Cody",7,,false
"Most 1st Places","Totals","All-Time (Regular Season)",10,"Carly",6,,false
"Most 1st Places","Totals","All-Time (Regular Season)",10,"Ian",6,,false
"Most 1st Places","Totals","All-Time (Regular Season)",10,"Sam",6,,false
"Most 1st Places","Totals","All-Time (Regular Season)",13,"Dan",5,,false
"Most 1st Places","Totals","All-Time (Regular Season)",13,"Jack M",5,,false
"Most 1st Places","Totals","All-Time (Regular Season)",15,"Ryan",4,,false
"Most 1st Places","Totals","All-Time (Regular Season)",15,"Luke",4,,false
"Most 1st Places","Totals","All-Time (Regular Season)",17,"Brittany",2,,false
"Most 1st Places","Totals","All-Time (Regular Season)",18,"Brian",1,,false
"Most 1st Places","Totals","All-Time (Regular Season)",18,"Tyler",1,,false
"Most 1st Places","Totals","All-Time (Regular Season)",18,"Steve",1,,false
"Most 1st Places","Totals","All-Time (Regular Season)",18,"Jennie",1,,false
"Most 1st Places","Totals","All-Time (Regular Season)",18,"Jack C",1,,false
"Most 1st Places","Totals","All-Time (Regular Season)",23,"Becca",0,,false
"Most 1st Places","Totals","All-Time (Regular Season)",23,"Allie",0,,false
"Most 1st Places","Totals","All-Time (Regular Season)",23,"Emma",0,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",1,"Tyler",10,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",1,"Rachel M",10,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",3,"Nick",9,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",3,"Austin",9,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",3,"Ashley",9,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",3,"Jack M",9,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",7,"Dan",7,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",7,"Michael",7,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",7,"Steve",7,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",10,"Josh",6,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",10,"Richie",6,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",12,"Ryan",5,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",12,"Rachel F",5,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",12,"Cody",5,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",15,"Allie",4,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",15,"Emma",4,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",15,"Sam",4,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",18,"Carly",3,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",18,"Ian",3,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",20,"Luke",2,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",20,"Becca",2,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",20,"Jack C",2,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",20,"Brittany",2,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",24,"Jennie",1,,false
"Most 2nd Places","Totals","All-Time (Regular Season)",25,"Brian",0,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",1,"Dan",10,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",1,"Rachel F",10,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",3,"Ryan",9,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",4,"Austin",7,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",4,"Ashley",7,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Richie",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Carly",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Jack M",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Emma",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Jack C",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",6,"Brittany",6,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Josh",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Michael",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Tyler",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Steve",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Cody",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Ian",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",12,"Sam",5,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",19,"Allie",4,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",20,"Nick",3,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",20,"Rachel M",3,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",22,"Luke",2,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",22,"Becca",2,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",22,"Jennie",2,,false
"Most 3rd Places","Totals","All-Time (Regular Season)",25,"Brian",0,,false
"Most 4th Places","Totals","All-Time (Regular Season)",1,"Ryan",12,,false
"Most 4th Places","Totals","All-Time (Regular Season)",1,"Josh",12,,false
"Most 4th Places","Totals","All-Time (Regular Season)",3,"Steve",11,,false
"Most 4th Places","Totals","All-Time (Regular Season)",4,"Carly",9,,false
"Most 4th Places","Totals","All-Time (Regular Season)",5,"Dan",8,,false
"Most 4th Places","Totals","All-Time (Regular Season)",5,"Allie",8,,false
"Most 4th Places","Totals","All-Time (Regular Season)",5,"Tyler",8,,false
"Most 4th Places","Totals","All-Time (Regular Season)",5,"Emma",8,,false
"Most 4th Places","Totals","All-Time (Regular Season)",9,"Richie",6,,false
"Most 4th Places","Totals","All-Time (Regular Season)",9,"Rachel F",6,,false
"Most 4th Places","Totals","All-Time (Regular Season)",9,"Ashley",6,,false
"Most 4th Places","Totals","All-Time (Regular Season)",12,"Nick",5,,false
"Most 4th Places","Totals","All-Time (Regular Season)",13,"Michael",4,,false
"Most 4th Places","Totals","All-Time (Regular Season)",13,"Luke",4,,false
"Most 4th Places","Totals","All-Time (Regular Season)",13,"Jack M",4,,false
"Most 4th Places","Totals","All-Time (Regular Season)",13,"Ian",4,,false
"Most 4th Places","Totals","All-Time (Regular Season)",17,"Austin",3,,false
"Most 4th Places","Totals","All-Time (Regular Season)",17,"Rachel M",3,,false
"Most 4th Places","Totals","All-Time (Regular Season)",17,"Sam",3,,false
"Most 4th Places","Totals","All-Time (Regular Season)",17,"Jack C",3,,false
"Most 4th Places","Totals","All-Time (Regular Season)",21,"Becca",2,,false
"Most 4th Places","Totals","All-Time (Regular Season)",21,"Jennie",2,,false
"Most 4th Places","Totals","All-Time (Regular Season)",21,"Brittany",2,,false
"Most 4th Places","Totals","All-Time (Regular Season)",24,"Brian",1,,false
"Most 4th Places","Totals","All-Time (Regular Season)",24,"Cody",1,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",1,"Nick",22,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",2,"Michael",21,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",3,"Austin",20,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",4,"Richie",18,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",4,"Rachel M",18,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",6,"Ashley",17,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",7,"Rachel F",14,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",7,"Jack M",14,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",9,"Josh",13,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",10,"Dan",12,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",10,"Cody",12,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",12,"Tyler",11,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",13,"Sam",10,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",14,"Ryan",9,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",14,"Carly",9,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",14,"Ian",9,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",17,"Steve",8,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",18,"Luke",6,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",19,"Allie",4,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",19,"Emma",4,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",19,"Brittany",4,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",22,"Jack C",3,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",23,"Becca",2,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",23,"Jennie",2,,false
"Top Half Finishes (1st/2nd)","Totals","All-Time (Regular Season)",25,"Brian",1,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",1,"Ryan",21,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",2,"Dan",18,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",3,"Josh",17,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",4,"Rachel F",16,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",4,"Steve",16,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",6,"Carly",15,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",7,"Emma",14,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",8,"Ashley",13,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",8,"Tyler",13,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",10,"Richie",12,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",10,"Allie",12,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",12,"Austin",10,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",12,"Jack M",10,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",14,"Michael",9,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",14,"Ian",9,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",14,"Jack C",9,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",17,"Nick",8,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",17,"Sam",8,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",17,"Brittany",8,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",20,"Luke",6,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",20,"Rachel M",6,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",20,"Cody",6,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",23,"Becca",4,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",23,"Jennie",4,,false
"Bottom Half Finishes (3rd/4th)","Totals","All-Time (Regular Season)",25,"Brian",1,,false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",1,"Richie",4,"2024 Week 4 - 2025 Week 1",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",1,"Ian",4,"2025 Week 5 - 2026 Week 2",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Nick",3,"2023 Week 3 - 2023 Week 5",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Austin",3,"2023 Week 1 - 2023 Week 3",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Ashley",3,"2024 Week 6 - 2025 Week 2",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Rachel M",3,"2025 Week 2 - 2025 Week 4",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Cody",3,"2026 Week 3 - 2026 Week 5",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Sam",3,"2025 Week 3 - 2025 Week 5",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Dan",2,"2025 Week 4 - 2025 Week 5",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Ryan",2,"2024 Week 2 - 2024 Week 3",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Josh",2,"2024 Week 4 - 2024 Week 5",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Rachel F",2,"2022 Week 3 - 2022 Week 4",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Michael",2,"2022 Week 1 - Present",true
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Carly",2,"2026 Week 3 - 2026 Week 4",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",9,"Brittany",2,"2025 Week 6 - 2026 Week 1",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Brian",1,"2022 Week 1",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Luke",1,"2022 Week 2",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Tyler",1,"2023 Week 4",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Jack M",1,"2024 Week 3 - Present",true
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Steve",1,"2025 Week 3",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Jennie",1,"2024 Week 6",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Jack C",1,"2026 Week 4",false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",23,"Becca",0,,false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",23,"Allie",0,,false
"Longest Win Streak","Streaks (All-Time)","All-Time (Regular Season)",23,"Emma",0,,false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",1,"Austin",5,"2025 Week 2 - 2025 Week 6",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Nick",4,"2023 Week 6 - 2024 Week 3",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Tyler",3,"2025 Week 2 - 2025 Week 4",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",3,"Rachel M",3,"2023 Week 2 - 2023 Week 4",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Dan",2,"2022 Week 4 - 2022 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Ryan",2,"2024 Week 4 - 2024 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Josh",2,"2026 Week 5 - Present",true
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Richie",2,"2022 Week 6 - 2023 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Michael",2,"2024 Week 4 - 2024 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Ashley",2,"2023 Week 5 - 2023 Week 6",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Jack M",2,"2026 Week 3 - 2026 Week 4",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Steve",2,"2023 Week 1 - 2023 Week 2",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Cody",2,"2026 Week 1 - 2026 Week 2",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Emma",2,"2024 Week 4 - 2024 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Ian",2,"2026 Week 4 - 2026 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",5,"Sam",2,"2025 Week 1 - 2025 Week 2",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Rachel F",1,"2024 Week 2",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Luke",1,"2022 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Becca",1,"2022 Week 3",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Allie",1,"2022 Week 5",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Carly",1,"2023 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Jennie",1,"2024 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Jack C",1,"2025 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",17,"Brittany",1,"2025 Week 1",false
"Longest 2nd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",25,"Brian",0,,false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",1,"Ryan",4,"2023 Week 1 - 2023 Week 4",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Dan",3,"2026 Week 2 - 2026 Week 4",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Austin",3,"2022 Week 4 - 2022 Week 6",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Rachel F",3,"2023 Week 5 - 2024 Week 1",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Ashley",3,"2025 Week 4 - 2025 Week 6",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Sam",3,"2024 Week 4 - 2024 Week 6",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Brittany",3,"2025 Week 2 - 2025 Week 4",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Josh",2,"2026 Week 1 - 2026 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Richie",2,"2022 Week 1 - 2022 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Luke",2,"2022 Week 6 - 2023 Week 1",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Becca",2,"2022 Week 1 - 2022 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Allie",2,"2022 Week 3 - 2022 Week 4",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Jack M",2,"2023 Week 6 - 2024 Week 1",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Cody",2,"2025 Week 2 - 2025 Week 3",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",8,"Jack C",2,"2025 Week 5 - Present",true
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Nick",1,"2024 Week 5",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Michael",1,"2022 Week 6",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Carly",1,"2023 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Tyler",1,"2023 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Rachel M",1,"2024 Week 3",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Steve",1,"2024 Week 1 - Present",true
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Emma",1,"2024 Week 3",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Jennie",1,"2024 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",16,"Ian",1,"2024 Week 2",false
"Longest 3rd Place Streak","Streaks (All-Time)","All-Time (Regular Season)",25,"Brian",0,,false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",1,"Steve",6,"2024 Week 2 - 2025 Week 1",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Ryan",4,"2025 Week 5 - 2026 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",2,"Carly",4,"2025 Week 5 - 2026 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",4,"Josh",3,"2022 Week 6 - 2023 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",4,"Allie",3,"2023 Week 5 - 2024 Week 1",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Nick",2,"2025 Week 1 - 2025 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Richie",2,"2026 Week 3 - 2026 Week 4",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Rachel F",2,"2022 Week 1 - 2022 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Luke",2,"2023 Week 5 - 2023 Week 6",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Becca",2,"2022 Week 4 - 2022 Week 5",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Tyler",2,"2026 Week 5 - Present",true
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",6,"Emma",2,"2024 Week 1 - 2024 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Brian",1,"2022 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Dan",1,"2022 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Austin",1,"2023 Week 4",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Michael",1,"2022 Week 5",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Ashley",1,"2022 Week 1",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Jack M",1,"2023 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Rachel M",1,"2023 Week 5",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Cody",1,"2025 Week 4",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Jennie",1,"2024 Week 3",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Ian",1,"2024 Week 1",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Sam",1,"2024 Week 1",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Jack C",1,"2025 Week 2",false
"Longest 4th Place Streak","Streaks (All-Time)","All-Time (Regular Season)",13,"Brittany",1,"2025 Week 5",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",1,"Rachel F",17,"2023 Week 4 - 2026 Week 2",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",2,"Nick",15,"2022 Week 4 - 2024 Week 6",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",2,"Michael",15,"2023 Week 2 - 2025 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",4,"Ashley",12,"2024 Week 5 - 2026 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",4,"Rachel M",12,"2024 Week 5 - 2026 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",6,"Ryan",10,"2022 Week 1 - 2023 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",6,"Sam",10,"2024 Week 2 - 2025 Week 5",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",8,"Austin",9,"2022 Week 1 - 2023 Week 3",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",8,"Cody",9,"2024 Week 1 - 2025 Week 3",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",10,"Jack M",8,"2023 Week 3 - 2024 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",11,"Josh",7,"2025 Week 6 - Present",true
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",11,"Richie",7,"2022 Week 1 - 2023 Week 1",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",13,"Carly",6,"2023 Week 5 - 2024 Week 4",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",13,"Tyler",6,"2025 Week 2 - 2026 Week 1",false
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",15,"Dan",5,"2022 Week 3 - Present",true
"Longest Streak w/o 4th","Streaks (All-Time)","All-Time (Regular Season)",15,"Ian",5,"2024 Week 4 - 2025 Week 2",false
